1,0,10398,-5460,-4882,57,79,-32,-42,5,0,1,1
2,834,9928,-2960,-6917,51,73,-13,-56,3,0,1,1
3,1668,8926,-358,-8541,27,63,6,-68,1,0,1,1
4,2502,7527,2378,-9893,12,51,28,-74,5,0,1,1
5,3336,5529,4931,-10468,-8,36,43,-76,3,0,1,1
6,4170,2968,6949,-9961,-45,15,56,-72,-1,0,1,1
7,5004,323,8570,-8931,-39,-6,68,-62,0,0,1,1
8,5838,-2412,9891,-7529,-49,-26,73,-50,-3,0,1,1
9,6672,-4945,10449,-5546,-42,-41,74,-34,-1,0,1,1
10,7506,-6960,9913,-2994,-41,-57,69,-15,-3,0,1,1
11,8340,-8567,8902,-363,-28,-68,60,4,-3,0,1,1
12,9174,-9899,7457,2390,-52,-77,47,24,-6,0,1,1
13,10008,-10393,5461,4878,-54,-77,33,42,-2,0,1,1
14,10842,-9932,2964,6922,-45,-73,13,57,-4,0,1,1
15,11676,-8924,353,8538,-33,-63,-7,67,-4,0,1,1
16,12510,-7526,-2370,9892,-4,-51,-28,75,-4,0,1,1
17,13344,-5523,-4935,10465,7,-33,-41,75,1,0,1,1
18,14178,-2966,-6948,9963,48,-14,-58,71,-1,0,1,1
19,15012,-323,-8574,8940,43,5,-68,63,-1,0,1,1
20,15846,2402,-9888,7531,45,25,-74,51,3,0,1,1
21,16680,4943,-10447,5548,44,43,-74,34,3,0,1,1
22,17514,6957,-9913,2995,39,57,-69,15,3,0,1,1
23,18348,8572,-8894,357,35,69,-59,-6,4,0,1,1
24,19182,9893,-7461,-2387,45,77,-49,-25,2,0,1,1
25,20016,10408,-5460,-4883,66,77,-32,-40,4,0,1,1
26,20850,9924,-2968,-6914,42,73,-12,-56,5,0,1,1
27,21684,8930,-354,-8539,36,63,8,-69,2,0,1,1
28,22518,7523,2377,-9895,5,51,26,-75,3,0,1,1
29,23352,5531,4927,-10465,-7,33,42,-76,-1,0,1,1
30,24186,2965,6951,-9961,-45,14,57,-72,-1,0,1,1
31,25020,327,8567,-8936,-43,-6,69,-62,0,0,1,1
32,25854,-2418,9893,-7524,-49,-26,74,-51,-3,0,1,1
33,26688,-4942,10449,-5548,-41,-44,74,-34,-4,0,1,1
34,27522,-6961,9913,-2997,-44,-57,71,-16,-2,0,1,1
35,28356,-8567,8902,-366,-31,-69,61,5,-3,0,1,1
36,29190,-9894,7456,2391,-47,-75,49,24,-2,0,1,1
37,30024,-10398,5457,4880,-61,-78,32,41,-5,0,1,1
38,30858,-9928,2964,6919,-44,-73,14,56,-3,0,1,1
39,31692,-8929,352,8540,-37,-64,-5,68,-1,0,1,1
40,32526,-7523,-2373,9894,-3,-51,-28,74,-6,0,1,1
41,33360,-5527,-4932,10467,7,-33,-44,76,-1,0,1,1
42,34194,-2960,-6952,9960,48,-13,-57,71,1,0,1,1
43,35028,-326,-8573,8938,38,7,-68,63,2,0,1,1
44,35862,2407,-9891,7529,45,25,-74,49,0,0,1,1
45,36696,4943,-10449,5546,40,43,-75,34,3,0,1,1
46,37530,6956,-9912,2996,40,56,-68,16,4,0,1,1
47,38364,8563,-8893,362,31,69,-60,-6,4,0,1,1
48,39198,9890,-7455,-2387,48,77,-48,-25,4,0,1,1
49,40032,10403,-5461,-4878,65,78,-32,-41,5,0,1,1
50,40866,9932,-2966,-6923,43,72,-12,-56,4,0,1,1
51,41700,8927,-353,-8541,33,64,6,-68,2,0,1,1
52,42534,7522,2380,-9893,9,50,27,-75,2,0,1,1
53,43368,5528,4927,-10466,-11,35,43,-77,1,0,1,1
54,44202,2970,6952,-9963,-41,14,57,-73,-2,0,1,1
55,45036,330,8571,-8935,-34,-5,67,-63,-1,0,1,1
56,45870,-2417,9891,-7526,-51,-27,74,-50,-3,0,1,1
57,46704,-4948,10449,-5543,-42,-43,74,-34,-3,0,1,1
58,47538,-6954,9914,-3004,-43,-58,69,-15,-3,0,1,1
59,48372,-8565,8900,-364,-29,-68,60,5,-3,0,1,1
60,49206,-9887,7449,2387,-51,-77,48,25,-4,0,1,1
61,50040,-10400,5455,4883,-62,-79,32,41,-6,0,1,1
62,50874,-9932,2966,6915,-50,-73,14,56,-2,0,1,1
63,51708,-8931,358,8543,-30,-64,-5,66,-3,0,1,1
64,52542,-7524,-2376,9891,-10,-50,-27,74,-3,0,1,1
65,53376,-5523,-4933,10466,10,-35,-43,76,-2,0,1,1
66,54210,-2966,-6952,9963,44,-16,-58,71,-2,0,1,1
67,55044,-334,-8573,8942,34,7,-67,63,3,0,1,1
68,55878,2409,-9891,7531,49,27,-74,51,4,0,1,1
69,56712,4939,-10444,5545,40,44,-75,33,2,0,1,1
70,57546,6962,-9913,2994,43,58,-70,15,3,0,1,1
71,58380,8566,-8898,363,31,67,-61,-6,0,0,1,1
72,59214,9893,-7457,-2386,50,76,-48,-24,4,0,1,1
73,60048,10400,-5458,-4879,63,77,-32,-41,3,0,1,1
74,60882,9928,-2968,-6913,47,73,-13,-56,5,0,1,1
75,61716,8933,-361,-8540,32,64,7,-69,2,0,1,1
76,62550,7523,2380,-9893,10,50,27,-74,2,0,1,1
77,63384,5532,4926,-10464,-6,34,44,-75,2,0,1,1
78,64218,2969,6949,-9963,-46,14,59,-71,2,0,1,1
79,65052,334,8568,-8937,-35,-7,67,-62,-2,0,1,1
80,65886,-2418,9892,-7527,-52,-25,74,-50,-2,0,1,1
81,66720,-4946,10448,-5543,-41,-44,75,-33,-3,0,1,1
82,67554,-6959,9916,-3000,-43,-56,69,-15,-2,0,1,1
83,68388,-8565,8901,-366,-30,-70,61,5,-3,0,1,1
84,69222,-9889,7454,2386,-49,-76,48,24,-3,0,1,1
85,70056,-10392,5455,4876,-62,-77,32,42,-3,0,1,1
86,70890,-9934,2966,6922,-45,-73,14,55,-4,0,1,1
87,71724,-8930,361,8539,-30,-64,-8,68,-4,0,1,1
88,72558,-7524,-2371,9892,-4,-51,-27,75,-3,0,1,1
89,73392,-5521,-4930,10464,13,-34,-42,76,0,0,1,1
90,74226,-2968,-6952,9966,45,-16,-57,71,-3,0,1,1
91,75060,-330,-8571,8940,38,7,-68,64,3,0,1,1
92,75894,2406,-9890,7534,51,26,-74,51,3,0,1,1
93,76728,4945,-10446,5541,40,44,-74,34,5,0,1,1
94,77562,6959,-9916,2999,42,58,-70,15,3,0,1,1
95,78396,8566,-8898,360,28,69,-61,-5,3,0,1,1
96,79230,9893,-7456,-2385,52,77,-49,-25,3,0,1,1
97,80064,10394,-5459,-4875,61,78,-32,-41,6,0,1,1
98,80898,9931,-2968,-6915,48,74,-12,-56,5,0,1,1
99,81732,8934,-361,-8540,33,63,7,-67,2,0,1,1
100,82566,7525,2373,-9892,6,51,27,-75,3,0,1,1
101,83400,5526,4927,-10464,-11,33,41,-77,-3,0,1,1
102,84234,2970,6946,-9961,-45,14,58,-72,1,0,1,1
103,85068,333,8570,-8941,-38,-7,68,-64,-3,0,1,1
104,85902,-2415,9892,-7530,-52,-26,74,-48,1,0,1,1
105,86736,-4944,10446,-5544,-43,-44,73,-35,-5,0,1,1
106,87570,-6962,9916,-2997,-42,-58,70,-15,-3,0,1,1
107,88404,-8564,8902,-368,-30,-68,62,8,2,0,1,1
